section,subsection,function_name,parameters,description,source_url
DataFrame,"Reshaping, sorting, transposing",DataFrame.stack,"[level, dropna, sort, ...]",Stack the prescribed level(s) from columns to index.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.stack.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.unstack,"[level, fill_value, sort]",Pivot a level of the (necessarily hierarchical) index labels.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.unstack.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.melt,"[id_vars, value_vars, ...]","Unpivot DataFrame from wide to long format, optionally leaving identifiers set.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.melt.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.explode,"column[, ignore_index]","Transform each element of a list-like to a row, replicating index values.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.explode.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.squeeze,[axis],Squeeze 1 dimensional axis objects into scalars.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.squeeze.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.to_xarray,,Return an xarray object from the pandas object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_xarray.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.T,,The transpose of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.T.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.transpose,"*args[, copy]",Transpose index and columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.transpose.html
DataFrame,Combining / comparing / joining / merging,DataFrame.assign,**kwargs,Assign new columns to a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.assign.html
DataFrame,Combining / comparing / joining / merging,DataFrame.compare,"other[, align_axis, ...]",Compare to another DataFrame and show the differences.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.compare.html
DataFrame,Combining / comparing / joining / merging,DataFrame.join,"other[, on, how, lsuffix, ...]",Join columns of another DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.join.html
DataFrame,Combining / comparing / joining / merging,DataFrame.merge,"right[, how, on, left_on, ...]",Merge DataFrame or named Series objects with a database-style join.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.merge.html
DataFrame,Combining / comparing / joining / merging,DataFrame.update,"other[, join, overwrite, ...]",Modify in place using non-NA values from another DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.update.html
DataFrame,Time Series-related,DataFrame.asfreq,"freq[, method, how, ...]",Convert time series to specified frequency.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.asfreq.html
DataFrame,Time Series-related,DataFrame.asof,"where[, subset]",Return the last row(s) without any NaNs before where .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.asof.html
DataFrame,Time Series-related,DataFrame.shift,"[periods, freq, axis, ...]",Shift index by desired number of periods with an optional time freq .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.shift.html
DataFrame,Time Series-related,DataFrame.first_valid_index,,"Return index for first non-missing value or None, if no value is found.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.first_valid_index.html
DataFrame,Time Series-related,DataFrame.last_valid_index,,"Return index for last non-missing value or None, if no value is found.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.last_valid_index.html
DataFrame,Time Series-related,DataFrame.resample,"rule[, closed, label, ...]",Resample time-series data.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.resample.html
DataFrame,Time Series-related,DataFrame.to_period,"[freq, axis, copy]",Convert DataFrame from DatetimeIndex to PeriodIndex.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_period.html
DataFrame,Time Series-related,DataFrame.to_timestamp,"[freq, how, axis, copy]","Cast PeriodIndex to DatetimeIndex of timestamps, at beginning of period.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_timestamp.html
DataFrame,Time Series-related,DataFrame.tz_convert,"tz[, axis, level, copy]",Convert tz-aware axis to target time zone.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.tz_convert.html
DataFrame,Time Series-related,DataFrame.tz_localize,"tz[, axis, level, ...]",Localize time zone naive index of a Series or DataFrame to target time zone.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.tz_localize.html
DataFrame,Flags,Flags,"obj, *, allows_duplicate_labels",Flags that apply to pandas objects.,https://pandas.pydata.org/docs/reference/api/pandas.Flags.html
DataFrame,Metadata,DataFrame.attrs,,Dictionary of global attributes of this dataset.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.attrs.html
DataFrame,Plotting,DataFrame.plot,"[x, y, kind, ax, ....]",DataFrame plotting accessor and method,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.html
DataFrame,Plotting,DataFrame.plot.area,"[x, y, stacked]",Draw a stacked area plot.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.area.html
DataFrame,Plotting,DataFrame.plot.bar,"[x, y, color]",Vertical bar plot.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.bar.html
DataFrame,Plotting,DataFrame.plot.barh,"[x, y, color]",Make a horizontal bar plot.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.barh.html
DataFrame,Plotting,DataFrame.plot.box,[by],Make a box plot of the DataFrame columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.box.html
DataFrame,Plotting,DataFrame.plot.density,"[bw_method, ind, weights]",Generate Kernel Density Estimate plot using Gaussian kernels.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.density.html
DataFrame,Plotting,DataFrame.plot.hexbin,"x, y[, C, ...]",Generate a hexagonal binning plot.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.hexbin.html
DataFrame,Plotting,DataFrame.plot.hist,"[by, bins]",Draw one histogram of the DataFrame's columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.hist.html
DataFrame,Plotting,DataFrame.plot.kde,"[bw_method, ind, weights]",Generate Kernel Density Estimate plot using Gaussian kernels.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.kde.html
DataFrame,Plotting,DataFrame.plot.line,"[x, y, color]",Plot Series or DataFrame as lines.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.line.html
DataFrame,Plotting,DataFrame.plot.pie,[y],Generate a pie plot.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.pie.html
DataFrame,Plotting,DataFrame.plot.scatter,"x, y[, s, c]",Create a scatter plot with varying marker point size and color.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.plot.scatter.html
DataFrame,Plotting,DataFrame.boxplot,"[column, by, ax, ...]",Make a box plot from DataFrame columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.boxplot.html
DataFrame,Plotting,DataFrame.hist,"[column, by, grid, ...]",Make a histogram of the DataFrame's columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.hist.html
DataFrame,Sparse accessor,DataFrame.sparse.density,,Ratio of non-sparse points to total (dense) data points.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sparse.density.html
DataFrame,Sparse accessor,DataFrame.sparse.from_spmatrix,"data[, ...]",Create a new DataFrame from a scipy sparse matrix.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sparse.from_spmatrix.html
DataFrame,Sparse accessor,DataFrame.sparse.to_coo,,Return the contents of the frame as a sparse SciPy COO matrix.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sparse.to_coo.html
DataFrame,Sparse accessor,DataFrame.sparse.to_dense,,Convert a DataFrame with sparse values to dense.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sparse.to_dense.html
DataFrame,Serialization / IO / conversion,DataFrame.from_arrow,data,Construct a DataFrame from a tabular Arrow object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.from_arrow.html
DataFrame,Serialization / IO / conversion,DataFrame.from_dict,"data[, orient, dtype, ...]",Construct DataFrame from dict of array-like or dicts.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.from_dict.html
DataFrame,Serialization / IO / conversion,DataFrame.from_records,"data[, index, ...]",Convert structured or record ndarray to DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.from_records.html
DataFrame,Serialization / IO / conversion,DataFrame.to_orc,"[path, engine, index, ...]",Write a DataFrame to the Optimized Row Columnar (ORC) format.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_orc.html
DataFrame,Serialization / IO / conversion,DataFrame.to_parquet,"[path, engine, ...]",Write a DataFrame to the binary parquet format.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_parquet.html
DataFrame,Serialization / IO / conversion,DataFrame.to_pickle,"path, *[, compression, ...]",Pickle (serialize) object to file.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_pickle.html
DataFrame,Serialization / IO / conversion,DataFrame.to_csv,"[path_or_buf, sep, na_rep, ...]",Write object to a comma-separated values (csv) file.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_csv.html
DataFrame,Serialization / IO / conversion,DataFrame.to_hdf,"path_or_buf, *, key[, ...]",Write the contained data to an HDF5 file using HDFStore.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_hdf.html
DataFrame,Serialization / IO / conversion,DataFrame.to_sql,"name, con, *[, schema, ...]",Write records stored in a DataFrame to a SQL database.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_sql.html
DataFrame,Serialization / IO / conversion,DataFrame.to_dict,"[orient, into, index]",Convert the DataFrame to a dictionary.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_dict.html
DataFrame,Serialization / IO / conversion,DataFrame.to_excel,"excel_writer, *[, ...]",Write object to an Excel sheet.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_excel.html
DataFrame,Serialization / IO / conversion,DataFrame.to_json,"[path_or_buf, orient, ...]",Convert the object to a JSON string.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_json.html
DataFrame,Serialization / IO / conversion,DataFrame.to_html,"[buf, columns, col_space, ...]",Render a DataFrame as an HTML table.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_html.html
DataFrame,Serialization / IO / conversion,DataFrame.to_feather,"path, **kwargs",Write a DataFrame to the binary Feather format.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_feather.html
DataFrame,Serialization / IO / conversion,DataFrame.to_latex,"[buf, columns, header, ...]","Render object to a LaTeX tabular, longtable, or nested table.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_latex.html
DataFrame,Serialization / IO / conversion,DataFrame.to_stata,"path, *[, convert_dates, ...]",Export DataFrame object to Stata dta format.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_stata.html
DataFrame,Serialization / IO / conversion,DataFrame.to_records,"[index, column_dtypes, ...]",Convert DataFrame to a NumPy record array.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_records.html
DataFrame,Serialization / IO / conversion,DataFrame.to_string,"[buf, columns, ...]",Render a DataFrame to a console-friendly tabular output.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_string.html
DataFrame,Serialization / IO / conversion,DataFrame.to_clipboard,"*[, excel, sep]",Copy object to the system clipboard.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_clipboard.html
DataFrame,Serialization / IO / conversion,DataFrame.to_markdown,"[buf, mode, index, ...]",Print DataFrame in Markdown-friendly format.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_markdown.html
DataFrame,Serialization / IO / conversion,DataFrame.style,,Returns a Styler object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.style.html
DataFrame,Serialization / IO / conversion,DataFrame.__dataframe__,"[nan_as_null, ...]",(DEPRECATED) Return the dataframe interchange object implementing the interchange protocol.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.__dataframe__.html
Series,Constructor,Series,"[data, index, dtype, name, copy]",One-dimensional ndarray with axis labels (including time series).,https://pandas.pydata.org/docs/reference/api/pandas.Series.html
